species	1998	1978	2004	2013	2009	2016	2020	2019	2017	2000	2018	2003	2015	2014	2006	2011	2008	2010	2012	1997
Polystachya proterantha								LC												
Polystachya tridentata								LC												
Polystachya samilae								LC												
Polystachya stauroglossa								VU												
Polystachya stauroglossa var. alata									EN											
Polystachya tenella								LC												
Polystachya troupiniana								LC												
Polystachya undulata									EN											
Polystachya virginea								LC												
Polystachya winigeri								EN												
Polystachya woosnamii								VU												
Polystachya woosnamii var. woosnamii								VU												
Polystachya woosnamii var. nyungweensis									LC											
Polystachya walravensiana								LC												
Rhaesteria eggelingii								LC												
Rhipidoglossum arbonnieri								LC												
Rhipidoglossum ovale								VU												
Tridactyle stevartiana								LC												
Tridactyle virgula								VU												
Encyclia caicensis																			EN	
